"player_name","name_in_home_country","date_of_birth","place_of_birth","age","height","citizenship","position","foot","player_agent","current_club","joined","contract_expires","date_of_last_contract_extension","outfitter","instagram","player_valuation","max_player_valuation","max_player_valuation_date","URL","contract_option","na","on_loan_from","contract_there_expires","twitter","facebook","x2nd_club","full_name","website","x3nd_club","date_of_death"
"Andrzej Niewulis","Andrzej Niewulis","1989-04-21","Suwa�ki","33",1.87,"Poland","Defender - Centre-Back","right","FBG","Miedz Legnica","2023-01-23","2024-06-30",NA,NA,NA,NA,NA,"2021-10-15","https://www.transfermarkt.com/andrzej-niewulis/profil/spieler/101070","Option for a further year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oskar Krzyzak","Oskar Krzy�ak","2002-01-24","Cz�stochowa","21",1.9,"Poland","Defender - Centre-Back","right","box2box Football Agency","Skra Czestochowa","2022-09-01","2023-06-30",NA,NA,NA,NA,NA,"2022-06-14","https://www.transfermarkt.com/oskar-krzyzak/profil/spieler/554976",NA,NA,"Rakow Czestochowa","Jun 30, 2025",NA,NA,NA,NA,NA,NA,NA
Ivi Lopez,"Iv�n L�pez �lvarez","1994-06-29","Madrid","28",1.74,"Spain","midfield - Attacking Midfield","right","MRHfutbol","Rakow Czestochowa","2020-09-01","2026-06-30","2022-07-19",NA,"http://www.instagram.com/ivilopez10/",4e+06,4e+06,"2022-06-14","https://www.transfermarkt.com/ivi-lopez/profil/spieler/282371",NA,NA,NA,NA,"http://twitter.com/14IviLopez",NA,NA,NA,NA,NA,NA
"Fran Tudor",NA,"1995-09-27","Zagreb","27",1.73,"Croatia","midfield - Right Midfield","right","Relatives","Rakow Czestochowa","2020-01-01","2027-06-30","2022-12-22",NA,NA,2500000,2500000,"2017-10-23","https://www.transfermarkt.com/fran-tudor/profil/spieler/343158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bartosz Nowak",NA,"1993-08-25","Radom","29",1.8,"Poland","midfield - Attacking Midfield","right","Profus Management","Rakow Czestochowa","2022-08-03","2025-06-30",NA,NA,NA,2e+06,2e+06,"2022-09-29","https://www.transfermarkt.com/bartosz-nowak/profil/spieler/261085","Option for a further year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vladyslav Kochergin","<U+041A><U+043E><U+0447><U+0435><U+0440><U+0433><U+0456><U+043D> <U+0412><U+043B><U+0430><U+0434><U+0438><U+0441><U+043B><U+0430><U+0432> <U+0421><U+0435><U+0440><U+0433><U+0456><U+0439><U+043E><U+0432><U+0438><U+0447>","1996-04-30","Odesa","26",1.78,"Ukraine","midfield - Attacking Midfield","right",NA,"Rakow Czestochowa","2022-03-26","2025-06-30",NA,NA,NA,1800000,2500000,"2021-06-07","https://www.transfermarkt.com/vladyslav-kochergin/profil/spieler/248932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Giannis Papanikolaou","<U+0393><U+03B9><U+03AC><U+03BD><U+03BD><U+03B7><U+03C2> <U+03A0><U+03B1><U+03C0><U+03B1><U+03BD><U+03B9><U+03BA><U+03BF><U+03BB><U+03AC><U+03BF><U+03C5>","1998-11-18","Marousi","24",1.82,"Greece","midfield - Defensive Midfield","left","E.C.DIMITRIADIS sro","Rakow Czestochowa","2020-08-11","2025-06-30","2021-02-08",NA,NA,1800000,1800000,"2022-11-16","https://www.transfermarkt.com/giannis-papanikolaou/profil/spieler/448058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deian Sorescu","Deian Cristian Sorescu","1997-08-29","Timi�oara","25",1.75,"Romania","midfield - Right Midfield","right",NA,"FCSB","2023-01-14","2023-06-30",NA,NA,NA,1500000,1900000,"2021-12-22","https://www.transfermarkt.com/deian-sorescu/profil/spieler/379209","Option to buy",NA,"Rakow Czestochowa","Jun 30, 2025",NA,NA,NA,NA,NA,NA,NA
"Patryk Kun","Patryk Kun","1995-04-20","Gi�ycko","27",1.65,"Poland","midfield - Left Midfield","both","F-MG.COM","Rakow Czestochowa","2018-07-01","2023-06-30","2021-02-08",NA,NA,1500000,1500000,"2022-11-16","https://www.transfermarkt.com/patryk-kun/profil/spieler/252608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mateusz Wdowiak","Mateusz Wdowiak","1996-08-28","Krak�w","26",1.74,"Poland","midfield - Attacking Midfield","right","BMG-SPORT","Rakow Czestochowa","2021-02-15","2024-12-31",NA,NA,NA,1200000,1200000,"2022-09-29","https://www.transfermarkt.com/mateusz-wdowiak/profil/spieler/295495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ben Lederman","Ben Lederman","2000-05-08","Los Angeles, California","22",1.78,"Poland Israel","midfield - Central Midfield","left","BMG-SPORT","Rakow Czestochowa","2020-02-25","2024-06-30","2020-07-01",NA,NA,1e+06,1e+06,"2022-06-14","https://www.transfermarkt.com/ben-lederman/profil/spieler/366929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gustav Berggren","Karl Gustav Vilhelm Berggren","1997-09-07",NA,"25",1.87,"Sweden","midfield - Central Midfield","right","HCM Sports Management","Rakow Czestochowa","2022-07-29","2025-06-30",NA,NA,NA,NA,1500000,"2022-06-24","https://www.transfermarkt.com/gustav-berggren/profil/spieler/258007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jean Carlos Silva","Jean Carlos Silva Rocha","1996-05-10","Ouro Preto","26",1.85,"Spain Brazil","midfield - Left Midfield","right","F�TBOLMORRA","Rakow Czestochowa","2023-01-01","2026-06-30",NA,NA,NA,NA,NA,"2021-12-31","https://www.transfermarkt.com/jean-carlos-silva/profil/spieler/282434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Szymon Czyz","Szymon Czy�","2001-07-08","Gdynia","21",1.76,"Poland","midfield - Central Midfield","right","F-MG.COM","Rakow Czestochowa","2022-01-10","2025-06-30",NA,NA,"http://www.instagram.com/szymek.czyz",NA,NA,"2021-12-31","https://www.transfermarkt.com/szymon-czyz/profil/spieler/407094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marcin Cebula","Marcin Cebula","1995-12-06","Stasz�w","27",1.77,"Poland","midfield - Attacking Midfield","both","INNfootball","Rakow Czestochowa","2020-08-01","2023-06-30",NA,NA,NA,NA,1500000,"2021-05-21","https://www.transfermarkt.com/marcin-cebula/profil/spieler/239215","Option for a further year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fabio Sturgeon,"F�bio Miguel dos Santos Sturgeon","1994-02-04","Almada","29",1.83,"Portugal England","midfield - Attacking Midfield","both","IDOLO�SIS","Without Club","2022-09-01",NA,NA,NA,"http://www.instagram.com/sturgeon71/",NA,2500000,"2016-02-24","https://www.transfermarkt.com/fabio-sturgeon/profil/spieler/194641",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Valeriane Gvilia","<U+10D5><U+10D0><U+10DA><U+10D4><U+10E0><U+10D8><U+10D0><U+10DC> <U+10D2><U+10D5><U+10D8><U+10DA><U+10D8><U+10D0>","1994-05-24","Zugdidi","28",1.82,"Georgia Ukraine","midfield - Central Midfield","right",NA,"Without Club","2023-01-30",NA,NA,NA,"http://www.instagram.com/vakogvilia/",NA,2500000,"2020-08-18","https://www.transfermarkt.com/valeriane-gvilia/profil/spieler/335191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wiktor Dlugosz","Wiktor D�ugosz","2000-07-01","Kielce","22",1.83,"Poland","midfield - Right Midfield","right","ProSport Manager","Rakow Czestochowa","2021-02-04","2025-06-30",NA,NA,NA,NA,NA,"2021-10-15","https://www.transfermarkt.com/wiktor-dlugosz/profil/spieler/453156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Igor Sapala","Igor Sapa�a","1995-10-11","Kartuzy","27",1.87,"Poland","midfield - Defensive Midfield",NA,"INNfootball","Wisla Krak�w","2023-01-01","2025-06-30",NA,NA,NA,NA,NA,"2021-01-19","https://www.transfermarkt.com/igor-sapala/profil/spieler/380597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniel Szelagowski","Daniel Szel�gowski","2002-09-02","Kielce","20",1.79,"Poland","midfield - Attacking Midfield","right","ProSport Manager","Chojniczanka Chojnice","2023-01-03","2023-06-30",NA,"Nike",NA,NA,NA,"2021-05-21","https://www.transfermarkt.com/daniel-szelagowski/profil/spieler/566350",NA,NA,"Rakow Czestochowa","Jun 30, 2025",NA,NA,NA,NA,NA,NA,NA
"Olivier Sukiennicki","Olivier Mariusz Sukiennicki","2003-05-25","Cz�stochowa","19",NA,"Poland","midfield - Central Midfield","right","Unique Sports Group","Rakow Czestochowa","2023-01-26",NA,NA,NA,NA,NA,NA,NA,"https://www.transfermarkt.com/olivier-sukiennicki/profil/spieler/725768",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vladislavs Gutkovskis",NA,"1995-04-02","Riga","27",1.87,"Latvia","Attack - Centre-Forward",NA,"ICG 1983 est.","Rakow Czestochowa","2020-07-01","2025-06-30","2022-11-10",NA,"http://www.instagram.com/guti951/",1200000,1500000,"2022-06-14","https://www.transfermarkt.com/vladislavs-gutkovskis/profil/spieler/192710","club option 2 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fabian Piasecki","Fabian Piasecki","1995-05-04","Wroc�aw","27",1.86,"Poland","Attack - Centre-Forward","right","11-Football Players","Rakow Czestochowa","2022-07-01","2026-06-30","2022-06-13",NA,NA,1200000,1200000,"2022-11-16","https://www.transfermarkt.com/fabian-piasecki/profil/spieler/255401","Contract until end of season",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sebastian Musiolik","Sebastian Karol Musiolik","1996-05-19","Knur�w","26",1.93,"Poland","Attack - Centre-Forward","left","INNfootball","Rakow Czestochowa","2018-07-01","2023-06-30","2019-05-08","adidas",NA,NA,NA,"2021-02-22","https://www.transfermarkt.com/sebastian-musiolik/profil/spieler/267152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Filip Bednarek","Filip Bednarek","1992-09-26","S�upca","30",1.88,"Poland","Goalkeeper","right","Fabryka Futbolu","Lech Poznan","2020-07-01","2025-06-30","2022-02-03",NA,"http://www.instagram.com/filipbednarek/",NA,NA,"2022-11-16","https://www.transfermarkt.com/filip-bednarek/profil/spieler/155158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominik Holec",NA,"1994-07-28","�esk� Bud�jovice","28",1.91,"Slovakia","Goalkeeper","right","CSM Agency","Lech Poznan","2023-01-03","2023-06-30",NA,NA,NA,NA,NA,"2021-12-26","https://www.transfermarkt.com/dominik-holec/profil/spieler/181611",NA,NA,"AC Sparta Prague","Jun 30, 2023",NA,NA,NA,NA,NA,NA,NA
"Artur Rudko","<U+0420><U+0443><U+0434><U+044C><U+043A><U+043E> <U+0410><U+0440><U+0442><U+0443><U+0440> <U+041E><U+043B><U+0435><U+043A><U+0441><U+0456><U+0439><U+043E><U+0432><U+0438><U+0447>","1992-05-07","Kyiv","30",1.9,"Ukraine","Goalkeeper","right","ProStar","Lech Poznan","2022-07-02","2023-06-30",NA,NA,NA,NA,1200000,"2017-01-03","https://www.transfermarkt.com/artur-rudko/profil/spieler/129646",NA,NA,"Metalist Kharkiv","Jun 30, 2026",NA,NA,NA,NA,NA,NA,NA
"Krzysztof Bakowski","Krzysztof B�kowski","2003-01-04","Pozna�","20",1.9,"Poland","Goalkeeper","both","Fabryka Futbolu","Stal Rzeszow","2023-01-23","2024-06-30",NA,NA,NA,NA,NA,"2021-05-21","https://www.transfermarkt.com/krzysztof-bakowski/profil/spieler/554278",NA,NA,"Lech Poznan","Jun 30, 2024",NA,NA,NA,NA,NA,NA,NA
"Karol Drazdzewski","Karol Dra�dzewski","2002-02-02",NA,"21",1.98,"Poland","Goalkeeper","both","IQSPORT.COM.PL","Lech Poznan II","2020-08-01","2023-06-30",NA,NA,NA,NA,NA,NA,"https://www.transfermarkt.com/karol-drazdzewski/profil/spieler/535519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joel Pereira","Joel Vieira Pereira","1996-09-28","Vila Nova de Gaia","26",1.78,"Portugal","Defender - Right-Back","right","PRIMESOCCER","Lech Poznan","2021-07-01","2025-06-30",NA,NA,NA,2e+06,2e+06,"2022-06-14","https://www.transfermarkt.com/joel-pereira/profil/spieler/225165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antonio Milic","Antonio Mili�","1994-03-10","Split","28",1.9,"Croatia","Defender - Centre-Back","left","TTMA","Lech Poznan","2021-01-10","2026-06-30","2022-10-20",NA,NA,1800000,3e+06,"2018-03-30","https://www.transfermarkt.com/antonio-milic/profil/spieler/179896","Option for a further year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Filip Dagerstal","Per Filip Dagerstal","1997-02-01","Norrk�ping","26",1.89,"Sweden","Defender - Centre-Back","right","Nordic Sky","Lech Poznan","2022-07-26","2023-06-30",NA,NA,NA,1800000,2e+06,"2022-06-24","https://www.transfermarkt.com/filip-dagerstal/profil/spieler/270905",NA,NA,"FK Khimki","Jan 30, 2024",NA,NA,NA,NA,NA,NA,NA
"Lubomir Satka","�ubom�r �atka","1995-12-02","Ilava","27",1.88,"Slovakia","Defender - Centre-Back","right","CM Sports Management LTD","Lech Poznan","2019-07-19","2023-06-30",NA,NA,"http://www.instagram.com/lubomirsatka/",1200000,3e+06,"2021-10-15","https://www.transfermarkt.com/lubomir-satka/profil/spieler/168408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mateusz Zukowski","Mateusz �ukowski","2001-11-23","L�bork","21",1.85,"Poland","Defender - Right-Back","right","BMG-SPORT","Lech Poznan","2022-08-30","2023-06-30",NA,NA,NA,1e+06,2500000,"2021-10-15","https://www.transfermarkt.com/mateusz-zukowski/profil/spieler/470375",NA,NA,"Rangers FC","May 31, 2025",NA,NA,NA,NA,NA,NA,NA
"Pedro Rebocho","Pedro Miguel Braga Rebocho","1995-01-23","�vora","28",1.71,"Portugal","Defender - Left-Back","left","Proeleven S.A.","Lech Poznan","2021-08-23","2023-06-30",NA,"Nike","http://www.instagram.com/pedrorebocho23/",NA,6e+06,"2019-06-03","https://www.transfermarkt.com/pedro-rebocho/profil/spieler/197860","club option 1 year",NA,NA,NA,NA,"http://www.facebook.com/PedroRebochoOficial",NA,NA,NA,NA,NA
"Bartosz Salamon","Bartosz Salamon","1991-05-01","Pozna�","31",1.94,"Poland","Defender - Centre-Back","right","Branchini Associati S.p.A.","Lech Poznan","2021-01-09","2024-06-30",NA,NA,"http://www.instagram.com/salamon1991/?hl=it",NA,3500000,"2013-02-14","https://www.transfermarkt.com/bartosz-salamon/profil/spieler/71019",NA,NA,NA,NA,"http://twitter.com/salamon1591","http://www.facebook.com/SalamonBartosz/?fref=pb&hc_location=profile_browser",NA,NA,NA,NA,NA
"Alan Czerwinski","Alan Czerwi�ski","1993-02-02","Olkusz","30",1.81,"Poland","Defender - Right-Back","right","BMG-SPORT","Lech Poznan","2020-08-01","2025-06-30","2023-01-03",NA,NA,NA,1200000,"2021-01-15","https://www.transfermarkt.com/alan-czerwinski/profil/spieler/240756","Option for a further year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barry Douglas","Barry James Douglas","1989-09-04","Glasgow","33",1.76,"Scotland","Defender - Left-Back","left","Trueno Sports","Lech Poznan","2021-07-10","2023-06-30",NA,NA,"http://www.instagram.com/barrydouglas1/",NA,3500000,"2018-09-24","https://www.transfermarkt.com/barry-douglas/profil/spieler/91854",NA,NA,NA,NA,"http://twitter.com/barrydouglas03",NA,NA,NA,NA,NA,NA
"Maksymilian Pingot","Maksymilian Pingot","2003-04-01","Konin","19",1.88,"Poland","Defender - Centre-Back","left","Fabryka Futbolu","Odra Opole","2023-01-02","2024-06-30",NA,NA,NA,NA,NA,"2022-09-29","https://www.transfermarkt.com/maksymilian-pingot/profil/spieler/728420",NA,NA,"Lech Poznan","Dec 31, 2024",NA,NA,NA,NA,NA,NA,NA
"Adrian Laskowski",NA,"1992-03-16","Pozna�","30",1.88,"Poland","Defender - Centre-Back","right","ELITE GROUP","Lech Poznan II","2021-02-16",NA,NA,NA,NA,NA,NA,"2020-08-27","https://www.transfermarkt.com/adrian-laskowski/profil/spieler/146317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Patryk Olejnik",NA,"2006-03-15","Leszno","16",1.83,"Poland","Defender - Centre-Back","right",NA,"Lech Poznan II","2022-03-15","2024-06-30","2021-03-24",NA,NA,NA,NA,NA,"https://www.transfermarkt.com/patryk-olejnik/profil/spieler/965351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Micha� Gurgul","Micha� Gurgul","2006-01-30",NA,"17",NA,"Poland","Defender - Centre-Back","left",NA,"Lech Poznan","2023-01-24","2024-06-30",NA,NA,NA,NA,NA,NA,"https://www.transfermarkt.com/micha%C5%82-gurgul/profil/spieler/991779",NA,NA,NA,NA,NA,NA,"Lech Poznan II",NA,NA,NA,NA
"Jesper Karlstr�m","Jesper Karlstr�m","1995-06-21","Stockholm","27",1.85,"Sweden","midfield - Defensive Midfield","right","FPA","Lech Poznan","2021-01-01","2026-06-30","2023-01-11",NA,NA,2500000,2500000,"2022-06-14","https://www.transfermarkt.com/jesper-karlstrom/profil/spieler/222855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afonso Sousa","Afonso Gamelas Pinho Sousa","2000-05-03","Aveiro","22",1.74,"Portugal","midfield - Attacking Midfield","right","PRIMESOCCER","Lech Poznan","2022-07-01","2026-06-30",NA,NA,"http://www.instagram.com/afonsosousa10/",1800000,2500000,"2021-05-21","https://www.transfermarkt.com/afonso-sousa/profil/spieler/375378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joao Amaral","Joao Pedro Reis Amaral","1991-09-07","Vila Nova de Gaia","31",1.72,"Portugal","midfield - Attacking Midfield","both","D20 Sports","Lech Poznan","2018-07-21","2024-06-30","2021-12-22",NA,"http://www.instagram.com/amaral24/",1200000,3e+06,"2022-06-14","https://www.transfermarkt.com/joao-amaral/profil/spieler/352898","Option for a further year",NA,NA,NA,NA,"http://www.facebook.com/profile.php?id=100000572437976",NA,NA,NA,NA,NA
"Radoslaw Murawski","Rados�aw Pawe� Murawski","1994-04-22","Gliwice","28",1.73,"Poland","midfield - Central Midfield","right","BMG-SPORT","Lech Poznan","2021-07-01","2024-06-30",NA,NA,NA,1e+06,1700000,"2020-01-03","https://www.transfermarkt.com/radoslaw-murawski/profil/spieler/220969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nika Kvekveskiri","<U+10DC><U+10D8><U+10D9><U+10D0> <U+10D9><U+10D5><U+10D4><U+10D9><U+10D5><U+10D4><U+10E1><U+10D9><U+10D8><U+10E0><U+10D8>","1992-05-29","Gali","30",1.86,"Georgia","midfield - Defensive Midfield","right","FootballGoal.eu","Lech Poznan","2021-01-29","2025-06-30","2022-10-20",NA,"http://www.instagram.com/nkvekveskiri/",NA,1500000,"2019-06-13","https://www.transfermarkt.com/nika-kvekveskiri/profil/spieler/150850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Filip Marchwinski","Filip Marchwi�ski","2002-01-10","Pozna�","21",1.87,"Poland","midfield - Attacking Midfield","both","Branchini Associati S.p.A.","Lech Poznan","2018-12-12","2024-06-30","2022-07-14","Nike",NA,NA,3500000,"2020-08-18","https://www.transfermarkt.com/filip-marchwinski/profil/spieler/555106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dani Ram�rez","Daniel Ram�rez Fern�ndez","1992-06-18","Legan�s","30",1.75,"Spain","midfield - Attacking Midfield",NA,"Gustavo de la Parra","SV Zulte Waregem","2022-08-01","2024-06-30",NA,"Nike",NA,NA,2e+06,"2021-01-15","https://www.transfermarkt.com/dani-ramirez/profil/spieler/246309","club option 1 year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antoni Kozubal","Antoni Kozubal","2004-08-18","Krosno","18",1.77,"Poland","midfield - Defensive Midfield","right","YOUnited Management GmbH","Lech Poznan","2021-01-27","2024-06-30",NA,NA,NA,NA,NA,"2021-12-31","https://www.transfermarkt.com/antoni-kozubal/profil/spieler/555057",NA,NA,NA,NA,NA,NA,"Lech Poznan II",NA,NA,NA,NA
"Maksym Czekala","Maksym Czeka�a","2004-03-05",NA,"18",1.83,"Poland","midfield - Attacking Midfield","left",NA,"Lech Poznan","2022-05-13","2023-12-31","2021-11-25",NA,NA,NA,NA,"2022-06-14","https://www.transfermarkt.com/maksym-czekala/profil/spieler/821358",NA,NA,NA,NA,NA,NA,"Lech Poznan II",NA,NA,NA,NA
"Michal Skoras","Micha� Sk�ra�","2000-02-15","Jastrz�bie-Zdr�j","22",1.72,"Poland","Attack - Left Winger","right","Fabryka Futbolu","Lech Poznan","2019-07-01","2026-06-30","2022-09-13","adidas","http://www.instagram.com/michal.skoras/",3500000,3500000,"2022-11-14","https://www.transfermarkt.com/michal-skoras/profil/spieler/393565",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mikael Ishak",NA,"1993-03-31","Stockholm","29",1.85,"Sweden","Attack - Centre-Forward","both","MD Management","Lech Poznan","2020-07-20","2025-06-30","2022-11-08",NA,"http://www.instagram.com/mikaelishak9/",3e+06,4e+06,"2018-10-22","https://www.transfermarkt.com/mikael-ishak/profil/spieler/153637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kristoffer Velde","Kristoffer Velde","1999-09-09","Kopervik","23",1.79,"Norway","Attack - Left Winger","right","First Access Sports","Lech Poznan","2022-01-12","2025-12-31","2021-02-02",NA,NA,1500000,1500000,"2022-11-16","https://www.transfermarkt.com/kristoffer-velde/profil/spieler/499859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Georgiy Tsitaishvili","<U+10D2><U+10D8><U+10DD><U+10E0><U+10D2><U+10D8> <U+10EC><U+10D8><U+10E2><U+10D0><U+10D8><U+10E8><U+10D5><U+10D8><U+10DA><U+10D8> / <U+0426><U+0456><U+0442><U+0430><U+0456><U+0448><U+0432><U+0456><U+043B><U+0456> <U+0413><U+0435><U+043E><U+0440><U+0433><U+0456><U+0439> <U+041A><U+043B><U+0438><U+043C><U+0435><U+043D><U+0442><U+0456><U+0439><U+043E><U+0432><U+0438><U+0447> / <U+05D2>'<U+05D5><U+05E8><U+05D2>'<U+05D9> <U+05E6><U+05D9><U+05D8><U+05D0><U+05D0><U+05D9><U+05E9><U+05D5><U+05D5><U+05D9><U+05DC><U+05D9>","2000-11-18","Rischon LeZion","22",1.71,"Georgia Ukraine","Attack - Right Winger","left","ProStar","Lech Poznan","2022-07-01","2023-06-30",NA,NA,"http://www.instagram.com/giotsitaishvili11/",NA,1500000,"2020-09-04","https://www.transfermarkt.com/georgiy-tsitaishvili/profil/spieler/419067",NA,NA,"Dynamo Kyiv","Jun 30, 2025",NA,NA,NA,NA,NA,NA,NA
