,name,date of birth,height,foot,joined,contract until,position
36,Tomas Petrasek,"Mar 2, 1992",1.9,right,"Jul 1, 2016","Jun 30, 2023",Centre-Back
37,Milan Rundic,"Mar 29, 1992",1.8,left,"Jul 1, 2021","Jun 30, 2023",Centre-Back
38,Giannis Papanikolaou ,"Nov 18, 1998",1.8,left,"Aug 11, 2020","Jun 30, 2025", Defensive Midfield
39,Ben Lederman,"May 8, 2000",1.7,left,"Feb 25, 2020","Jun 30, 2025",Central Midfield
40,Gustav Berggren,"Sep 7, 1997",1.8,right,"Jul 29, 2022","Jun 30, 2025",Central Midfield
41,Szymon Czyz ,"Jul 8, 2001",1.7,right,"Jan 10, 2022","Jun 30, 2025", Central Midfield
42,Olivier Sukiennicki,"May 25, 2003",,right,"Jan 26, 2023",-,Central Midfield
43,Fran Tudor,"Sep 27, 1995",1.7,right,"Jan 1, 2020","Jun 30, 2027",Right Midfield
44,Jean Carlos Silva,"May 10, 1996",1.8,right,"Jan 1, 2023","Jun 30, 2026",Right Midfield
45,Wiktor Dlugosz,"Jul 1, 2000",1.8,right,"Feb 4, 2021","Jun 30, 2025",Right Midfield
46,Patryk Kun,"Apr 20, 1995",1.6,both,"Jul 1, 2018","Jun 30, 2023",Left Midfield
47,Ivi López,"Jun 29, 1994",1.7,right,"Sep 1, 2020","Jun 30, 2026",Attacking Midfield
48,Bartosz Nowak,"Aug 25, 1993",1.8,right,"Aug 3, 2022","Jun 30, 2025",Attacking Midfield
49,Vladyslav Kochergin,"Apr 30, 1996",1.7,right,"Mar 26, 2022","Jun 30, 2025",Attacking Midfield
50,Mateusz Wdowiak,"Aug 28, 1996",1.7,right,"Feb 15, 2021","Dec 31, 2024",Attacking Midfield
51,Marcin Cebula,"Dec 6, 1995",1.7,both,"Aug 1, 2020","Jun 30, 2023",Attacking Midfield
52,Vladislavs Gutkovskis,"Apr 2, 1995",1.8, ,"Jul 1, 2020","Jun 30, 2025",Centre-Forward
53,Fabian Piasecki ,"May 4, 1995",1.8,right,"Jul 1, 2022","Jun 30, 2026", Centre-Forward
54,Sebastian Musiolik,"May 19, 1996",1.9,left,"Jul 1, 2018","Jun 30, 2023",Centre-Forward
55,Dante Stipica,"May 30, 1991",1.8, ,"Jul 1, 2019","Jun 30, 2026",Goalkeeper
56,Bartosz Klebaniuk,"Apr 3, 2002",1.9,both,"Jul 1, 2021","Jun 30, 2025",Goalkeeper
57,Maciej Kowal,"Dec 9, 2002",1.9,left,"Jul 12, 2022","Jun 30, 2025",Goalkeeper
58,Danijel Loncar,"Jun 26, 1997",1.8,right,"Feb 10, 2023","Jun 30, 2026",Centre-Back
59,Konstantinos Triantafyllopoulos ,"Apr 3, 1993",1.8,right,"Jul 1, 2019","Jun 30, 2023", Centre-Back
60,Mariusz Malec,"Apr 4, 1995",1.9,left,"Jul 1, 2018","Jun 30, 2024",Centre-Back
61,Benedikt Zech,"Nov 3, 1990",1.8,right,"Jul 1, 2019","Jun 30, 2025",Centre-Back
62,Leonardo Koutris,"Jul 23, 1995",1.7,left,"Jan 1, 2023","Jun 30, 2026",Left-Back
63,Léo Borges,"Jan 3, 2001",1.7,left,"Jul 10, 2022","Jun 30, 2025",Left-Back
64,Linus Wahlqvist,"Nov 11, 1996",1.8,right,"Jan 1, 2023","Jun 30, 2026",Right-Back
65,Pawel Stolarski,"Jan 28, 1996",1.8,right,"Jan 1, 2021","Jun 30, 2024",Right-Back
66,Dawid Rezaeian,"Jun 26, 2002",1.7,right,"Sep 20, 2021","Jun 30, 2024",Right-Back
67,Damian Dabrowski,"Aug 27, 1992",1.7,right,"Aug 24, 2019","Jun 30, 2024",Defensive Midfield
68,Rafal Kurzawa,"Jan 29, 1993",1.8,left,"Feb 16, 2021","Jun 30, 2025",Defensive Midfield
69,Stanislaw Wawrzynowicz ,"Mar 13, 1999",1.7,both,"Jul 1, 2022","Jun 30, 2025", Defensive Midfield
70,Mateusz Legowski,"Jan 29, 2003",1.8,right,"Jan 27, 2021","Jun 30, 2025",Central Midfield
71,Kacper Smolinski ,"Feb 7, 2001",1.7,left,"Feb 21, 2019","Jun 30, 2024", Central Midfield
72,Yadegar Rostami,"Jan 2, 2004",1.8,right,"Oct 27, 2022","Jun 30, 2024",Central Midfield
73,Sebastian Kowalczyk,"Aug 22, 1998",1.7,right,"Nov 25, 2016","Jun 30, 2025",Attacking Midfield
74,Vahan Bichakhchyan,"Jul 9, 1999",1.7,left,"Jan 10, 2022","Jun 30, 2025",Attacking Midfield
75,Kacper Lukasiak,"Sep 24, 2003",1.8, ,"Mar 3, 2022","Jun 30, 2024",Attacking Midfield
76,Kamil Grosicki,"Jun 8, 1988",1.8,right,"Aug 21, 2021","Jun 30, 2024",Left Winger
77,Adrian Przyborek,"Jan 1, 2007",1.8,right,"Jan 25, 2023","Jun 30, 2025",Left Winger
78,Marcel Wedrychowski,"Jan 13, 2002",1.7,both,"Oct 17, 2018","Jun 30, 2024",Right Winger
79,Michal Kucharczyk,"Mar 20, 1991",1.7,right,"Aug 6, 2020","Jun 30, 2023",Right Winger
80,Alexander Gorgon,"Oct 28, 1988",1.8,right,"Aug 3, 2020","Jun 30, 2023",Right Winger
81,Pontus Almqvist,"Jul 10, 1999",1.8,left,"Jul 5, 2022","Jun 30, 2023",Centre-Forward
82,Luka Zahovic,"Nov 15, 1995",1.7,right,"Oct 1, 2020","Jun 30, 2025",Centre-Forward
83,Dusan Kuciak,"May 21, 1985",1.9,right,"Feb 3, 2017","Jun 30, 2024",Goalkeeper
84,Michal Buchalik,"Feb 3, 1989",1.9,right,"Jan 1, 2022","Jun 30, 2023",Goalkeeper
85,Bartlomiej Kaldunski,"Apr 16, 2005",, ,"Feb 22, 2023","Dec 31, 2025",Goalkeeper
86,Michal Nalepa,"Jan 22, 1993",1.8,right,"Jul 1, 2017","Jun 30, 2026",Centre-Back
87,Henrik Castegren,"Mar 28, 1996",1.8, ,"Feb 18, 2022","Jun 30, 2024",Centre-Back
88,Joel Abu Hanna,"Jan 22, 1998",1.8,left,"Aug 27, 2022","Jun 30, 2023",Centre-Back
89,Mario Maloca,"May 4, 1989",1.9,right,"Jul 1, 2019","Jun 30, 2023",Centre-Back
90,Rafal Pietrzak,"Jan 30, 1992",1.7,both,"Feb 20, 2020","Jun 30, 2023",Left-Back
91,Louis Poznanski,"May 24, 2001",1.8,left,"Feb 22, 2023","Dec 31, 2023",Left-Back
92,Jakub Bartkowski,"Nov 7, 1991",1.8,right,"Jan 2, 2023","Jun 30, 2025",Right-Back
93,David Stec,"May 10, 1994",1.7,right,"Jan 8, 2022","Jun 30, 2024",Right-Back
94,Filip Koperski,"Feb 24, 2004",1.8,right,"Jan 28, 2021","Jun 30, 2026",Right-Back
95,Bartosz Brzek,"Dec 1, 2005",1.7,right,"Jul 6, 2022","Jun 30, 2025",Right-Back
96,Jakub Kaluzinski,"Oct 31, 2002",1.8,both,"Feb 5, 2020","Jun 30, 2023",Defensive Midfield
97,Jaroslaw Kubicki,"Aug 7, 1995",1.8,right,"Jul 1, 2018","Jun 30, 2025",Defensive Midfield
98,Kristers Tobers,"Dec 13, 2000",1.8,right,"Aug 1, 2020","Jun 30, 2023",Defensive Midfield
99,Joeri de Kamps ,"Feb 10, 1992",1.7,left,"Aug 30, 2022","Jun 30, 2024", Defensive Midfield
100,Maciej Gajos,"Mar 19, 1991",1.7,right,"Jul 1, 2019","Jun 30, 2024",Attacking Midfield
101,Marco Terrazzino,"Apr 15, 1991",1.7,right,"Aug 10, 2021","Jun 30, 2023",Attacking Midfield
102,Conrado,"Apr 3, 1997",1.7,left,"Jan 9, 2020","Jun 30, 2024",Left Winger
103,Dominik Pila,"May 6, 2001",1.8,right,"Jul 1, 2022","Jun 30, 2025",Left Winger
104,Ilkay Durmus,"May 1, 1994",1.8,left,"Jul 1, 2021","Jun 30, 2026",Right Winger
105,Bassekou Diabaté,"Apr 15, 2000",1.8,both,"Jan 1, 2022","Jun 30, 2025",Right Winger
106,Lukasz Zwolinski,"Feb 24, 1993",1.8,right,"Feb 10, 2020","Jun 30, 2023",Centre-Forward
107,Kacper Sezonienko,"Mar 23, 2003",1.9,right,"May 27, 2020","Jun 30, 2025",Centre-Forward
108,Kevin Friesenbichler,"May 6, 1994",1.8,left,"Jan 11, 2023","Jun 30, 2025",Centre-Forward
109,Flávio Paixão,"Sep 19, 1984",1.8,right,"Feb 8, 2016","Jun 30, 2023",Centre-Forward
110,Frantisek Plach,"Mar 8, 1992",1.9,left,"Jan 10, 2018","Jun 30, 2026",Goalkeeper
111,Karol Szymanski,"Jun 25, 1993",1.9,right,"Aug 1, 2020","Jun 30, 2024",Goalkeeper
112,Bartlomiej Jelonek,"Dec 22, 2001",1.8, ,"Jul 14, 2022","Jun 30, 2023",Goalkeeper
113,Ariel Mosor,"Feb 19, 2003",1.8, ,"Jul 1, 2021","Jun 30, 2024",Centre-Back
114,Tomas Huk,"Dec 22, 1994",1.8,right,"Jul 1, 2019","Jun 30, 2025",Centre-Back
115,Jakub Czerwinski,"Aug 6, 1991",1.8,both,"Jul 1, 2018","Jun 30, 2024",Centre-Back
116,Constantin Reiner,"Jul 11, 1997",1.9,right,"Jan 17, 2022","Jun 30, 2025",Centre-Back
117,Miguel Muñoz,"Nov 22, 1996",1.8,right,"Jul 1, 2021","Jun 30, 2023",Centre-Back
118,Alexandros Katranis,"May 4, 1998",1.7,left,"Sep 1, 2021","Jun 30, 2024",Left-Back
119,Jakub Holubek,"Jan 12, 1991",1.8,left,"Jul 1, 2019","Jun 30, 2024",Left-Back
120,Arkadiusz Pyrka,"Sep 20, 2002",1.7, ,"Aug 4, 2020","Jun 30, 2024",Right-Back
121,Tomasz Mokwa,"Feb 10, 1993",1.8,right,"Aug 8, 2018","Jun 30, 2023",Right-Back
122,Piotr Liszewski,"Dec 18, 2004",1.8, ,"Oct 7, 2022","Jun 30, 2025",Right-Back
123,Patryk Dziczek,"Mar 25, 1998",1.8,right,"Aug 31, 2022","Jun 30, 2025",Defensive Midfield
124,Michal Kaput,"Feb 18, 1998",1.8,both,"Jan 5, 2022","Jun 30, 2025",Defensive Midfield
125,Tom Hateley,"Sep 12, 1989",1.8,right,"Oct 11, 2021","Jun 30, 2023",Defensive Midfield
126,Bartosz Luczak,"Mar 19, 2003",1.8, ,"Apr 15, 2022","Jun 30, 2023",Defensive Midfield
127,Szczepan Mucha,"Feb 29, 2004",1.7, ,"Jan 1, 2023","Jun 30, 2026",Defensive Midfield
128,Jakub Niedbala,"Feb 11, 2004",1.8,both,"Apr 15, 2022","Jun 30, 2024",Central Midfield
129,Grzegorz Tomasiewicz,"May 5, 1996",1.6,both,"Jul 1, 2022","Jun 30, 2024",Attacking Midfield
130,Michal Chrapek,"Apr 3, 1992",1.7,right,"Oct 10, 2020","Jun 30, 2023",Attacking Midfield
131,Jorge Félix,"Aug 22, 1991",1.7,right,"Aug 2, 2022","Jun 30, 2024",Attacking Midfield
132,Tihomir Kostadinov ,"Mar 4, 1996",1.7,right,"Jan 1, 2022","Jun 30, 2025", Attacking Midfield
133,Oskar Lesniak,"Oct 7, 2004",1.7, ,"Jul 1, 2022","Jun 30, 2025",Attacking Midfield
134,Michael Ameyaw,"Sep 16, 2000",1.7,right,"Jul 1, 2021","Jun 30, 2024",Left Winger
135,Damian Kadzior,"Jun 16, 1992",1.7,left,"Jul 19, 2021","Jun 30, 2025",Right Winger
136,Kamil Wilczek,"Jan 14, 1988",1.8,left,"Jan 31, 2022","Jun 30, 2024",Centre-Forward
137,Alex Sobczyk,"May 20, 1997",1.8,right,"Feb 9, 2023","Jun 30, 2023",Centre-Forward
138,Gabriel Kirejczyk,"Feb 12, 2003",1.9, ,"Jul 20, 2021","Jun 30, 2023",Centre-Forward
139,Bartlomiej Gradecki,"Dec 26, 1999",1.9, ,"Jul 10, 2017","Jun 30, 2025",Goalkeeper
140,Krzysztof Kaminski,"Nov 26, 1990",1.9,right,"Feb 6, 2020","Jun 30, 2024",Goalkeeper
141,Oskar Klon,"Feb 5, 2005",1.8, ,-,"Jun 30, 2023",Goalkeeper
142,Kamil Zapytowski,"Feb 21, 2004",1.8, ,-,"Jun 30, 2023",Goalkeeper
143,Oskar Lodzinski,"Jul 20, 2004",1.9, ,"Jul 12, 2022","Jun 30, 2024",Goalkeeper
144,Steve Kapuadi,"Apr 30, 1998",1.9,left,"Jul 1, 2022","Dec 31, 2023",Centre-Back
145,Martin Sulek,"Jan 15, 1998",1.7,right,"Jul 1, 2022","Dec 31, 2023",Centre-Back
146,Jakub Szymanski,"Jul 5, 2002",1.8,right,"Feb 21, 2023","Jun 30, 2024",Centre-Back
147,Adam Chrzanowski,"Mar 31, 1999",1.8,left,"Jul 1, 2022","Jun 30, 2025",Centre-Back
148,Jakub Rzezniczak,"Oct 26, 1986",1.8,right,"Jul 1, 2019","Jun 30, 2023",Centre-Back
149,Igor Drapinski,"May 31, 2004",1.8,left,"Jul 2, 2021","Jun 30, 2024",Centre-Back
150,Wojciech Mazurowski,"Mar 10, 1998",1.9,right,"Feb 16, 2023","Jun 30, 2023",Centre-Back
151,Piotr Tomasik ,"Oct 31, 1987",1.7,left,"Jul 1, 2019","Jun 30, 2023", Left-Back
152,Aleksander Pawlak,"Nov 14, 2001",1.7, ,"Jul 19, 2019","Jun 30, 2025",Right-Back
153,Filip Lesniak,"May 14, 1996",1.7,left,"Aug 1, 2020","Jun 30, 2024",Defensive Midfield
154,Dominik Furman,"Jul 6, 1992",1.8,right,"Jul 6, 2021","Jun 30, 2024",Central Midfield
155,Martin Hasek,"Oct 3, 1995",1.8,left,"Feb 28, 2023","Jun 30, 2023",Central Midfield
156,Miroslav Gono,"Nov 1, 2000",1.8, ,"Sep 2, 2022","Jun 30, 2023",Central Midfield
157,Pawel Chrupalla,"Mar 16, 2003",1.8,left,"Jan 1, 2023","Dec 31, 2023",Right Midfield
158,Rafal Wolski,"Nov 10, 1992",1.8,right,"Mar 6, 2020","Jun 30, 2025",Attacking Midfield
159,Mateusz Szwoch,"Mar 19, 1993",1.7,right,"Jul 1, 2018","Jun 30, 2024",Attacking Midfield
160,Damian Warchol,"Jul 19, 1995",1.8,both,"Jul 14, 2021","Jun 30, 2023",Attacking Midfield
161,Radoslaw Cielemecki,"Feb 19, 2003",1.7, ,"Jul 1, 2021","Jun 30, 2024",Attacking Midfield
162,Dawid Krzyzanski,"Nov 8, 2001",1.7, ,"Apr 15, 2021","Jun 30, 2023",Attacking Midfield
163,Tomasz Walczak,"Aug 17, 2005",1.8, ,"Sep 7, 2021","Jun 30, 2023",Left Winger
164,Kristian Vallo,"Jun 2, 1998",1.8,right,"Jul 1, 2021","Jun 30, 2024",Right Winger
165,Dawid Kocyla,"Jul 23, 2002",1.8, ,"Jan 1, 2020","Dec 31, 2023",Right Winger
166,Milan Kvocera,"Jan 1, 1998",1.7,right,"Jul 14, 2022","Jun 30, 2024",Right Winger
167,Dawid Zieba,"Jan 25, 2005",,both,"Feb 4, 2023","Dec 31, 2024",Right Winger
168,Marko Kolar,"May 31, 1995",1.7,right,"Jul 1, 2021","Jun 30, 2024",Centre-Forward
169,Bartosz Spiaczka,"Aug 19, 1991",1.8,right,"Feb 22, 2023","Jun 30, 2023",Centre-Forward
170,Mateusz Lewandowski,"Mar 4, 1999",1.8,right,"Aug 1, 2020","Jun 30, 2025",Centre-Forward
171,Lukasz Sekulski,"Nov 3, 1990",1.8,right,"Jul 26, 2021","Jun 30, 2025",Centre-Forward
172,Adrian Szczutowski,"Sep 12, 2000",1.9,both,"Jul 19, 2019","Jun 30, 2024",Centre-Forward
173,Gabriel Kobylak,"Feb 20, 2002",1.9,both,"Jul 1, 2022",-,Goalkeeper
174,Albert Posiadała,"Feb 25, 2003",1.9, ,"Mar 2, 2022","Jun 30, 2024",Goalkeeper
175,Pedro Justiniano,"Apr 18, 2000",1.9,right,"Jul 10, 2022","Jun 30, 2025",Centre-Back
176,Mike Cestor,"Apr 30, 1992",1.8,left,"Jan 13, 2023","Jun 30, 2024",Centre-Back
177,Raphael Rossi,"Jul 25, 1990",1.9,right,"Jul 24, 2021","Jun 30, 2024",Centre-Back
178,Mateusz Cichocki,"Jan 31, 1992",1.8,right,"Jul 1, 2019","Dec 31, 2024",Centre-Back
179,Dawid Abramowicz,"May 16, 1991",1.8,left,"Jan 29, 2021","Jun 30, 2025",Left-Back
180,Damian Jakubik,"Mar 25, 1990",1.8,right,"Jul 4, 2017","Jun 30, 2023",Right-Back
181,Filipe Nascimento ,"Jan 7, 1995",1.7,left,"Feb 21, 2021","Jun 30, 2023", Defensive Midfield
182,Thabo Cele,"Jan 15, 1997",1.7,right,"Oct 12, 2021","Jun 30, 2023",Defensive Midfield
183,Christos Donis,"Oct 9, 1994",1.8,right,"Jan 24, 2023","Jun 30, 2023",Defensive Midfield
184,Francisco Ramos,"Apr 10, 1995",1.8,right,"Jan 12, 2023","Jun 30, 2025",Defensive Midfield
185,Luizão,"Feb 20, 1998",1.8,right,"Feb 18, 2022","Jun 30, 2025",Defensive Midfield
186,Daniel Lukasik,"Apr 28, 1991",1.8,right,"Feb 11, 2022","Jun 30, 2023",Defensive Midfield
187,Jakub Nowakowski,"Oct 11, 2001",1.7, ,"Jul 1, 2018","Jun 30, 2025",Defensive Midfield
188,Kacper Pankowski,"Nov 10, 2003",1.8,both,-,"Jun 30, 2024",Defensive Midfield
189,Jozef Kolasa,"Aug 29, 2004",1.7, ,"Aug 29, 2022",-,Defensive Midfield
190,Jakub Snopczynski,"Jul 5, 2005",1.7, ,"Nov 25, 2021","Jun 30, 2023",Defensive Midfield
191,Milosz Zurawski,"Apr 17, 2006",1.9,right,"May 20, 2022","Jun 30, 2025",Defensive Midfield
192,Roberto Alves,"Jun 8, 1997",1.8,left,"Jul 1, 2022","Jun 30, 2025",Attacking Midfield
193,Frank Castañeda,"Jul 17, 1994",1.7,right,"Feb 22, 2023","Jun 30, 2024",Left Winger
194,Luís Machado,"Nov 4, 1992",1.7,right,"Jul 1, 2021","Jun 30, 2024",Left Winger
195,Berto Cayarga,"Sep 17, 1996",1.7,right,"Jan 3, 2023","Jun 30, 2025",Left Winger
196,Lisandro Semedo,"Mar 12, 1996",1.7,right,"Jul 9, 2022","Jun 30, 2024",Right Winger
197,Leândro ,"Nov 26, 1988",1.7,left,"Jul 16, 2012","Dec 31, 2024", Right Winger
198,Daniel Pik,"Jul 20, 2000",1.7,right,"Jul 1, 2022","Jun 30, 2024",Right Winger
199,Leonardo Rocha,"May 23, 1997",2.0,right,"Jan 13, 2023","Jun 30, 2026",Centre-Forward
200,Krystian Okoniewski,"Jan 24, 2005",1.8, ,"Feb 18, 2023","Jun 30, 2025",Centre-Forward
201,Jean Franco Sarmiento,"Feb 7, 1997",1.8, ,"Jan 3, 2023","Dec 31, 2024",Centre-Forward
202,Daniel Bielica,"Apr 30, 1999",1.9, ,"Mar 22, 2018","Jun 30, 2023",Goalkeeper
203,Pavel Pavlyuchenko,"Jan 1, 1998",1.9,right,"Feb 22, 2023","Jun 30, 2023",Goalkeeper
204,Pawel Sokol,"Mar 2, 2000",1.9, ,"Jul 1, 2021","Jun 30, 2023",Goalkeeper
205,Jakub Grzesiak,"Feb 22, 2003",1.9,right,"Feb 20, 2021","Jun 30, 2023",Goalkeeper
206,Kamil Soberka,"Apr 5, 2006",1.8,left,"Jan 30, 2023","Jun 30, 2024",Goalkeeper
207,Aleksander Paluszek,"Apr 9, 2001",1.9,right,"Jul 1, 2019","Jun 30, 2024",Centre-Back
208,Richard Jensen,"Mar 17, 1996",1.8,left,"Jul 20, 2022","Jun 30, 2024",Centre-Back
209,Kryspin Szczesniak,"Jan 8, 2001",1.8,both,"Aug 30, 2022","Jun 30, 2023",Centre-Back
210,Emil Bergström,"May 19, 1993",1.8,right,"Sep 27, 2022","Jun 30, 2023",Centre-Back
211,Rafal Janicki,"Jul 5, 1992",1.8,right,"Jul 16, 2021","Jun 30, 2024",Centre-Back
212,Boris Sekulic,"Oct 21, 1991",1.8,right,"Feb 17, 2023","Jun 30, 2024",Right-Back
213,Jean Jules ,"Apr 23, 1998",1.7,right,"Jul 1, 2022","Jun 30, 2024", Defensive Midfield
214,Blaz Vrhovec,"Feb 20, 1992",1.8,right,"Sep 2, 2022","Jun 30, 2023",Defensive Midfield
215,Robin Kamber,"Feb 15, 1996",1.8,right,"Aug 16, 2022","Jun 30, 2024",Defensive Midfield
216,Jonatan Kotzke,"Mar 18, 1990",1.8,right,"Jul 8, 2022","Jun 30, 2023",Defensive Midfield
217,Adrian Dziedzic,"Mar 22, 2003",1.8, ,"Jul 17, 2021","Jun 30, 2023",Defensive Midfield
218,Jakub Pochciol,"Aug 26, 2003",1.8,right,-,"Jun 30, 2023",Defensive Midfield
219,Kacper Capiga,"Feb 20, 2005",1.8,right,"Jan 30, 2023",-,Defensive Midfield
220,Damian Rasak,"Feb 8, 1996",1.8,right,"Feb 22, 2023","Jun 30, 2025",Central Midfield
221,Daisuke Yokota,"Jun 15, 2000",1.7,left,"Feb 9, 2023","Jun 30, 2024",Right Midfield
222,Norbert Wojtuszek,"Oct 5, 2001",1.8, ,"Sep 3, 2020","Jun 30, 2023",Right Midfield
223,Pawel Olkowski,"Feb 13, 1990",1.8,right,"Jul 1, 2022","Jun 30, 2024",Right Midfield
224,Erik Janza,"Jun 21, 1993",1.7,left,"Jul 1, 2019","Jun 30, 2024",Left Midfield
225,Robert Dadok,"Dec 24, 1996",1.8,right,"Jul 1, 2021","Jun 30, 2023",Attacking Midfield
226,Kanji Okunuki,"Aug 11, 1999",1.7,right,"Aug 31, 2022","Jun 30, 2023",Attacking Midfield
227,Dani Pacheco,"Jan 5, 1991",1.6,both,"Mar 10, 2022","Jun 30, 2024",Attacking Midfield
228,Lukas Podolski,"Jun 4, 1985",1.8,left,"Jul 6, 2021","Jun 30, 2023",Attacking Midfield
229,Arsen Grosu,"Apr 13, 2001",1.7,right,"Jul 17, 2021","Jun 30, 2023",Attacking Midfield
230,Nikodem Zielonka,"Aug 17, 2004",1.8, ,"Jan 31, 2022","Jun 30, 2023",Attacking Midfield
231,Szymon Wlodarczyk,"Jan 5, 2003",1.9,right,"Jul 1, 2022","Jun 30, 2025",Centre-Forward
232,Anthony van den Hurk,"Jan 9, 1993",1.8,right,"Feb 22, 2023","Jun 30, 2023",Centre-Forward
233,Piotr Krawczyk,"Dec 29, 1994",1.8,left,"Jul 1, 2019","Jun 30, 2023",Centre-Forward
234,Amadej Marosa,"Feb 7, 1994",1.7,right,"Aug 29, 2022","Jun 30, 2024",Centre-Forward
235,Mateusz Cholewiak,"Feb 5, 1990",1.8,left,"Jul 1, 2021","Jun 30, 2023",Centre-Forward
236,Krzysztof Kolanko,"Aug 3, 2006",1.6,right,"Jul 26, 2022","Jun 30, 2024",Centre-Forward
237,Karol Niemczycki,"Jul 5, 1999",1.9,left,"Aug 13, 2020","Jun 30, 2023",Goalkeeper
238,Lukas Hrosso,"Apr 19, 1987",1.9, ,"Jul 1, 2019","Jun 30, 2024",Goalkeeper
239,Sebastian Madejski,"Jan 2, 1997",1.8, ,"Sep 9, 2022","Jun 30, 2024",Goalkeeper
240,Filip Kramarz,"Jun 22, 2004",1.8, ,"Jul 20, 2021",-,Goalkeeper
241,Virgil Ghita,"Jun 4, 1998",1.8, ,"Feb 28, 2022","Jun 30, 2026",Centre-Back
242,Jakub Jugas,"May 5, 1992",1.8,right,"Jul 1, 2021","Jun 30, 2024",Centre-Back
243,Arttu Hoskonen,"Apr 16, 1997",1.8,right,"Jan 23, 2023","Jun 30, 2025",Centre-Back
244,David Jablonsky,"Oct 8, 1991",1.9,right,"Jul 1, 2019","Jun 30, 2024",Centre-Back
